,x,Lives in a communal establishment,Density,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Arab,Other ethnic group: Any other ethnic group,Dependent children in household: All ages,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed: Age 16 to 24,Unemployed: Age 50 to 74,Unemployed: Never worked,Long-term unemployed,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked
32,E06000055,1.90,3.30,71.50,1.10,0.10,7.90,1.50,0.40,0.90,0.70,5.20,2.10,2.00,0.60,1.50,1.70,1.80,0.40,0.20,0.50,31.50,31.90,49.20,0.20,2.80,9.20,6.70,10.20,18.60,57.70,13.60,0.00,0.00,0.00,0.00,0.00,13.90,40.40,9.50,4.40,3.60,12.80,5.50,4.30,3.30,2.30,1.20,0.90,0.60,1.70,10.20,18.60,57.70,13.60
33,E09000028,2.00,99.90,39.70,2.20,0.10,12.30,2.00,1.30,1.00,1.90,2.00,0.60,1.40,2.80,2.70,16.40,6.20,4.20,0.80,2.40,28.30,54.70,28.50,0.90,4.30,7.80,3.80,7.80,15.80,58.90,17.50,0.00,0.00,0.00,0.00,0.00,9.90,42.20,10.00,6.00,4.90,5.80,9.90,3.80,4.30,3.30,1.20,1.00,1.20,2.40,7.80,15.80,58.90,17.50
34,E06000048,1.70,0.60,97.20,0.30,0.00,0.90,0.20,0.10,0.20,0.10,0.30,0.10,0.10,0.10,0.20,0.10,0.00,0.00,0.00,0.10,26.40,27.60,52.10,0.20,2.60,9.30,8.20,9.00,20.90,57.20,13.00,0.00,0.00,0.00,0.00,0.00,14.70,37.00,9.50,4.40,2.20,18.80,3.50,3.60,4.40,1.80,1.30,0.90,0.70,1.70,9.00,20.90,57.20,13.00
35,E09000030,1.50,128.50,31.20,1.50,0.10,12.40,1.10,0.60,1.20,1.20,2.70,1.00,32.00,3.20,2.30,3.70,2.10,1.50,1.00,1.30,26.60,55.30,31.60,0.60,3.20,5.60,3.70,8.20,16.60,55.90,19.40,0.00,0.00,0.00,0.00,0.00,9.60,39.70,8.30,6.70,5.50,4.70,9.90,7.00,4.50,4.00,1.80,0.90,1.80,2.50,8.20,16.60,55.90,19.40
36,E06000011,2.20,1.40,96.10,0.30,0.10,1.60,0.20,0.10,0.20,0.10,0.30,0.10,0.00,0.20,0.20,0.10,0.10,0.00,0.10,0.10,26.50,26.10,54.20,0.20,2.20,9.20,8.00,10.30,20.70,54.30,14.70,0.00,0.00,0.00,0.00,0.00,15.40,37.00,10.10,3.60,2.70,19.50,3.70,3.20,3.10,1.70,1.00,0.80,0.40,1.40,10.30,20.70,54.30,14.70
37,E07000065,1.90,1.80,93.80,0.60,0.20,2.80,0.20,0.10,0.40,0.20,0.30,0.00,0.10,0.30,0.40,0.10,0.10,0.00,0.10,0.10,27.00,24.90,55.10,0.20,2.30,9.40,8.20,12.10,20.30,51.30,16.30,0.00,0.00,0.00,0.00,0.00,14.80,34.40,15.70,2.50,2.60,18.00,3.40,4.30,2.70,1.50,0.70,0.70,0.30,0.90,12.10,20.30,51.30,16.30
38,E07000064,2.70,1.80,94.10,0.70,0.10,2.10,0.30,0.10,0.40,0.30,0.30,0.00,0.10,0.20,0.50,0.20,0.10,0.10,0.10,0.10,22.10,24.70,51.30,0.30,2.60,10.30,10.80,11.60,21.90,51.00,15.50,0.00,0.00,0.00,0.00,0.00,13.80,29.40,14.80,3.20,2.10,22.50,3.80,4.30,4.10,1.90,0.90,0.80,0.40,1.30,11.60,21.90,51.00,15.50
39,E09000004,0.50,38.30,77.30,1.10,0.30,3.20,0.70,0.40,0.60,0.60,3.00,0.30,0.30,1.10,1.80,6.90,1.00,0.60,0.10,0.60,33.10,33.80,47.80,0.10,2.90,8.10,7.20,9.20,18.40,60.50,11.90,0.00,0.00,0.00,0.00,0.00,13.90,40.30,9.90,4.40,3.20,13.20,5.50,4.60,3.00,2.00,1.20,0.80,0.70,1.70,9.20,18.40,60.50,11.90
40,E08000015,1.10,20.40,95.00,0.80,0.00,1.20,0.30,0.20,0.30,0.30,0.40,0.10,0.30,0.50,0.30,0.10,0.10,0.00,0.10,0.10,28.20,33.90,44.60,0.20,2.60,10.30,8.50,8.80,22.10,58.70,10.40,0.00,0.00,0.00,0.00,0.00,15.00,36.30,7.50,5.20,2.50,16.80,4.50,3.90,6.40,2.00,1.60,1.00,0.90,2.10,8.80,22.10,58.70,10.40
41,E06000047,2.50,2.30,96.60,0.20,0.10,1.20,0.20,0.10,0.20,0.10,0.30,0.10,0.00,0.30,0.20,0.10,0.00,0.00,0.10,0.10,27.30,32.40,47.20,0.20,2.50,9.70,7.90,8.20,19.80,60.80,11.10,0.00,0.00,0.00,0.00,0.00,13.20,37.50,6.60,4.40,2.70,17.10,6.20,3.70,6.50,2.20,1.50,0.80,0.80,1.80,8.20,19.80,60.80,11.10
42,E06000008,1.10,10.80,66.50,0.50,0.10,2.00,0.20,0.10,0.70,0.20,13.40,12.10,1.00,0.50,1.10,0.40,0.10,0.10,0.40,0.40,35.00,33.60,47.60,0.20,3.00,9.00,6.60,8.50,22.90,60.20,8.40,0.00,0.00,0.00,0.00,0.00,13.90,34.10,7.70,5.30,3.20,12.70,5.80,6.80,7.10,3.50,1.60,0.80,1.00,2.10,8.50,22.90,60.20,8.40
43,E08000003,4.40,43.50,59.30,2.40,0.10,4.90,1.80,0.90,1.00,1.00,2.30,8.50,1.30,2.70,2.30,5.10,1.90,1.60,1.90,1.20,28.50,54.90,29.40,0.30,3.20,7.10,5.10,10.80,20.10,59.90,9.30,0.00,0.00,0.00,0.00,0.00,10.80,33.70,6.20,5.70,7.10,7.60,14.10,4.90,6.60,3.30,1.50,0.70,1.20,2.20,10.80,20.10,59.90,9.30
44,E08000006,2.40,24.10,84.40,1.20,0.10,4.40,0.70,0.50,0.40,0.40,1.10,0.80,0.30,1.10,0.80,2.30,0.30,0.20,0.60,0.50,27.80,43.40,37.00,0.30,3.10,9.10,7.00,8.40,19.30,62.50,9.80,0.00,0.00,0.00,0.00,0.00,12.50,39.30,6.60,5.20,4.70,12.10,5.80,4.10,6.90,2.90,1.50,0.80,0.90,2.10,8.40,19.30,62.50,9.80
45,E06000009,2.90,40.70,93.60,0.70,0.20,2.10,0.50,0.20,0.30,0.20,0.40,0.20,0.20,0.40,0.50,0.10,0.10,0.00,0.10,0.10,26.30,35.30,39.00,0.50,3.20,13.10,8.90,8.20,23.50,57.60,10.60,0.00,0.00,0.00,0.00,0.00,14.30,33.00,9.60,6.10,3.10,16.20,3.70,3.80,7.90,2.40,1.80,1.00,0.80,2.50,8.20,23.50,57.60,10.60
46,E07000128,1.70,3.80,96.80,0.50,0.10,0.90,0.20,0.10,0.20,0.10,0.20,0.10,0.10,0.30,0.30,0.10,0.00,0.00,0.00,0.10,24.80,26.20,51.90,0.30,2.20,9.90,9.50,9.60,21.70,56.00,12.60,0.00,0.00,0.00,0.00,0.00,14.50,34.70,10.80,3.20,3.10,21.20,3.90,2.90,4.40,1.30,1.00,0.70,0.30,1.20,9.60,21.70,56.00,12.60
47,E06000009,2.90,40.70,93.60,0.70,0.20,2.10,0.50,0.20,0.30,0.20,0.40,0.20,0.20,0.40,0.50,0.10,0.10,0.00,0.10,0.10,26.30,35.30,39.00,0.50,3.20,13.10,8.90,8.20,23.50,57.60,10.60,0.00,0.00,0.00,0.00,0.00,14.30,33.00,9.60,6.10,3.10,16.20,3.70,3.80,7.90,2.40,1.80,1.00,0.80,2.50,8.20,23.50,57.60,10.60
48,E08000020,1.20,14.10,94.10,0.30,0.00,1.90,0.20,0.10,0.30,0.20,0.50,0.30,0.10,0.50,0.50,0.50,0.00,0.00,0.10,0.40,27.00,35.40,44.40,0.30,2.70,9.40,7.90,7.50,20.70,62.40,9.50,0.00,0.00,0.00,0.00,0.00,14.20,39.80,5.90,5.00,2.70,15.90,4.60,3.80,6.00,2.00,1.50,0.80,0.80,2.00,7.50,20.70,62.40,9.50
49,E06000048,1.70,0.60,97.20,0.30,0.00,0.90,0.20,0.10,0.20,0.10,0.30,0.10,0.10,0.10,0.20,0.10,0.00,0.00,0.00,0.10,26.40,27.60,52.10,0.20,2.60,9.30,8.20,9.00,20.90,57.20,13.00,0.00,0.00,0.00,0.00,0.00,14.70,37.00,9.50,4.40,2.20,18.80,3.50,3.60,4.40,1.80,1.30,0.90,0.70,1.70,9.00,20.90,57.20,13.00
